lat,lon,year,AGB,clay,sand,silt,elev,annual_precip,peat_frac,Hydraulic_Stress,NDVI,precip_clay_interaction,groundwater_depth
-2.541666667,112.0416667,1996,72.75001038,366,292,345,36,3112.3519353866577,1.656877202956993,0.99949924887331,0.48010093,1139120.8083515167,308.32173411051434
-2.541666667,112.0416667,1997,66.59001459,366,292,345,36,2011.8437237739563,1.656877202956993,0.9994994994994996,0.3213291764259338,736334.802901268,308.32173411051434
-2.541666667,112.0416667,1998,67.97751268,366,292,345,36,3558.246013402939,1.656877202956993,0.9994997498749376,0.3156870305538177,1302318.0409054756,308.32173411051434
-2.541666667,112.0416667,1999,73.02250994,366,292,345,36,3412.922821521759,1.656877202956993,0.9995,0.7251151204109192,1249129.7526769638,308.32173411051434
-2.541666667,112.0416667,2000,72.9250095,366,292,345,36,3296.572650909424,1.656877202956993,0.9995002498750624,0.7104431986808777,1206545.5902328491,308.32173411051434
-2.541666667,112.0416667,2001,77.31501941,366,292,345,36,3126.481912136078,1.656877202956993,0.9995004995004996,0.7001585364341736,1144292.3798418045,308.32173411051434
-2.541666667,112.0416667,2002,77.4525195,366,292,345,36,2482.583889484405,1.656877202956993,0.9995007488766848,0.7777000000000001,908625.7035512923,308.32173411051434
-2.541666667,112.0416667,2003,71.87751047,366,292,345,36,2738.3400653600693,1.656877202956993,0.999500998003992,0.6578251123428345,1002232.4639217854,256.75885009765625
-2.541666667,112.0416667,2004,76.14252764,366,292,345,36,2331.967123031616,1.656877202956993,0.9995012468827932,0.7186533808708191,853499.9670295715,328.697998046875
-2.541666667,112.0416667,2005,81.94251836,366,292,345,36,2716.469094514847,1.656877202956993,0.9995014955134596,0.8241980671882629,994227.6885924339,349.2362670898437
-2.541666667,112.0416667,2006,83.73001044,366,292,345,36,2706.9769990444183,1.656877202956993,0.9995017438963628,0.7383793592453003,990753.5816502571,269.4506225585937
-2.541666667,112.0416667,2007,78.66002519,366,292,345,36,3235.694447040558,1.656877202956993,0.9995019920318724,0.8262828588485718,1184264.1676168442,333.8148498535156
-2.541666667,112.0416667,2008,80.7425222,366,292,345,36,3587.6965429782867,1.656877202956993,0.9995022399203584,0.767454207,1313096.934730053,330.8658142089844
-2.541666667,112.0416667,2009,81.97251797,366,292,345,36,2767.736750125885,1.656877202956993,0.9995024875621892,0.800712526,1012991.6505460739,270.1690979003906
-2.541666667,112.0416667,2010,82.22751661,366,292,345,36,4353.563986778259,1.656877202956993,0.9995027349577325,0.8185285329818726,1593404.419160843,367.7217712402344
-2.541666667,112.0416667,2011,83.87251057,366,292,345,36,3207.2083032131195,1.656877202956993,0.999502982107356,0.7629084587097168,1173838.2389760017,268.95977783203125
-2.541666667,112.0416667,2012,83.37751239,366,292,345,36,2624.3066866397858,1.656877202956993,0.9995032290114256,0.7851,960496.2473101616,274.510986328125
-2.541666667,112.0416667,2013,80.90001104,366,292,345,36,2959.237878918648,1.656877202956993,0.9995034756703078,0.827296852,1083081.0636842253,319.6205444335937
-2.541666667,112.0416667,2014,78.75751116,366,292,345,36,2633.046664953232,1.656877202956993,0.9995037220843672,0.736051746,963695.0793728828,243.7377166748047
-2.541666667,112.0416667,2015,84.01500903,366,292,345,36,2504.480815410614,1.656877202956993,0.9995039682539684,0.840392486,916639.9784402847,237.36181640625
-2.541666667,112.0416667,2016,83.13750911,366,292,345,36,3443.496195912361,1.656877202956993,0.9995042141794744,0.856433301,1260319.6077039242,342.9263000488281
-2.541666667,112.0416667,2017,67.5725169,366,292,345,36,3233.129089832306,1.656877202956993,0.9995044598612488,0.73206559,1183325.246878624,345.732421875
-2.541666667,112.0416667,2018,68.7500154,366,292,345,36,2798.351103061564,1.656877202956993,0.9995047052996532,0.670072963,1024196.5037205325,328.5901184082031
-2.541666667,112.0416667,2019,68.23001613,366,292,345,36,2373.4149740085413,1.656877202956993,0.9995049504950496,0.888477167,868669.8804871261,318.99609375
-2.541666667,112.0416667,2020,68.95751642,366,292,345,36,3871.7353456132114,1.656877202956993,0.999505195447798,0.374270941,1417055.1364944354,362.6401672363281
-2.541666667,112.2916667,1993,64.69502071,383,260,360,34,2911.2324357032776,8.58973634102075,0.9994984954864594,0.7244921922683716,1115002.0228743553,261.2054892645942
-2.541666667,112.2916667,1994,64.35001966,383,260,360,34,2679.9022241830826,8.58973634102075,0.999498746867168,0.7159783840179443,1026402.5518621206,261.2054892645942
-2.541666667,112.2916667,1995,65.31751909,383,260,360,34,3101.219701766968,8.58973634102075,0.999498997995992,0.5077261924743652,1187767.1457767487,261.2054892645942
-2.541666667,112.2916667,1996,65.15002086,383,260,360,34,3070.964869260788,8.58973634102075,0.99949924887331,0.746586263,1176179.5449268818,261.2054892645942
-2.541666667,112.2916667,1997,64.52502081,383,260,360,34,1926.56982421875,8.58973634102075,0.9994994994994996,0.5873451828956604,737876.2426757812,261.2054892645942
-2.541666667,112.2916667,1998,63.05501769,383,260,360,34,3341.885355949402,8.58973634102075,0.9994997498749376,0.5244790315628052,1279942.091328621,261.2054892645942
